,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
116,116,pohang university of science and technology,south korea,49.1,33.7,47.1,76.7,100,56.9,3055.0,10.1,4%,0.888888889
117,117,"university of maryland, college park",usa,45.0,43.5,42.1,88.2,32.3,56.7,31331.0,8.4,9%,48:52:00
118,118,ghent university,belgium,42.1,54.2,54.5,71.2,88.3,56.6,32166.0,34.1,9%,57:43:00
119,119,university of birmingham,united kingdom,39.4,82.0,41.8,82.7,34.7,56.2,25295.0,16.4,23%,54:46:00
120,120,university of bern,switzerland,40.0,83.7,42.5,76.6,82.9,56.1,14708.0,22.5,14%,54:46:00
121,120,university of cape town,south africa,34.9,80.2,38.7,85.6,92.7,56.1,20040.0,12.1,18%,53:47:00
122,120,university of florida,usa,51.8,33.3,56.8,67.7,-,56.1,50095.0,18.7,9%,54:46:00
123,123,university of erlangen-nuremberg,germany,51.7,47.0,39.7,75.2,99.4,56,36146.0,53.9,9%,49:51:00
124,123,"rutgers, the state university of new jersey",usa,43.9,34.7,55.7,75.4,35.9,56,37032.0,17.3,8%,51:49:00
125,125,university of münster,germany,40.3,46.3,44.1,85.6,58.2,55.9,39838.0,46.1,8%,53:47:00
126,125,radboud university nijmegen,netherlands,34.3,60.9,48.5,84.9,39.2,55.9,17713.0,13.0,10%,58:42:00
127,127,university of colorado boulder,usa,39.7,36.6,37.6,96.4,35.7,55.8,29325.0,16.1,8%,45:55:00
128,127,tufts university,usa,45.2,49.4,33.3,90.1,60.7,55.8,10410.0,10.0,14%,54:46:00
129,129,"royal holloway, university of london",united kingdom,35.1,92.7,33.2,91.2,34.4,55.7,8747.0,15.9,37%,57:43:00
130,130,lancaster university,united kingdom,34.0,87.0,41.4,85.3,33.6,55.6,11512.0,14.9,33%,52:48:00
131,131,university of geneva,switzerland,34.9,98.5,40.5,78.5,72.4,55.4,15668.0,15.0,39%,61:39:00
132,131,university of york,united kingdom,41.9,83.5,46.3,73.1,31.1,55.4,nan,nan,nan,nan
133,133,case western reserve university,usa,46.1,40.5,33.2,92.0,34.1,55.3,9259.0,6.4,17%,48:52:00
134,133,university of leeds,united kingdom,43.7,77.4,39.0,79.2,36.7,55.3,27703.0,14.7,21%,58:42:00
135,135,university of oslo,norway,43.3,68.2,44.7,75.5,38.3,55.1,27139.0,18.8,18%,nan
136,136,stockholm university,sweden,34.1,48.5,51.2,82.5,31.1,54.8,31715.0,23.7,8%,62:38:00
137,137,university of alberta,canada,46.4,80.7,48.1,63.6,47.4,54.7,36299.0,21.6,23%,55:45:00
138,138,chinese university of hong kong,hong kong,41.5,81.1,48.5,68.4,37.5,54.5,17916.0,10.2,22%,53:47:00
139,138,karlsruhe institute of technology,germany,37.7,56.7,47.5,73.8,99.5,54.5,25294.0,24.6,16%,26 : 74
140,140,university of sussex,united kingdom,33.4,88.3,37.2,86.1,30.6,54.4,12001.0,17.4,35%,54:46:00
141,141,university of massachusetts,usa,40.2,48.9,36.3,88.1,52.2,54.3,56959.0,13.0,11%,49:51:00
142,142,university of vienna,austria,40.8,92.6,50.5,63.6,30.2,54.2,34651.0,20.5,25%,67:33:00
143,143,university of nottingham,united kingdom,40.3,80.6,39.0,77.5,39.8,54.1,30144.0,15.0,27%,54:46:00
144,144,"university of california, santa cruz",usa,31.1,45.6,34.2,99.9,36.1,53.9,17404.0,22.7,1%,53:47:00
145,144,university of lausanne,switzerland,30.9,89.2,45.6,76.2,56,53.9,11964.0,13.1,22%,nan
146,146,autonomous university of barcelona,spain,40.3,50.3,40.0,83.8,34.9,53.8,30538.0,12.3,10%,59:41:00
147,147,university of virginia,usa,38.8,43.4,37.5,87.3,37.9,53.3,23845.0,10.2,12%,52:48:00
148,148,korea advanced institute of science and technology (kaist),south korea,43.3,33.9,40.5,75.9,100,53,9027.0,10.0,9%,0.888888889
149,149,university of adelaide,australia,32.8,85.1,43.2,72.4,79.3,52.9,20771.0,30.1,26%,48:52:00
150,149,university of east anglia,united kingdom,31.9,83.5,28.7,92.7,28.5,52.9,14992.0,14.7,28%,58:42:00
151,149,university of twente,netherlands,34.1,80.1,45.6,68.8,91.2,52.9,6631.0,12.0,26%,37 : 63
152,153,sungkyunkwan university (skku),south korea,51.4,36.7,53.5,53.8,97.5,52.8,24365.0,20.3,9%,39 : 61
153,154,vu university amsterdam,netherlands,28.4,54.9,37.1,90.7,60.1,52.5,23280.0,16.3,6%,56:44:00
